timestamp,volume,returns,returns_predicted_1,returns_predicted_2
2025-01-08,355206513683,0.0374531302774039,,
2025-01-15,526047818939,-0.0040249734550038,,
2025-01-22,392990612048,0.0994709768040065,,
2025-01-29,414333348359,-0.0454025212401761,,
2025-02-05,277917847502,-0.0339478849097781,,
2025-02-12,217432006523,-0.0217854096916721,,
2025-02-19,281806490213,-0.0022263566190027,,
2025-02-26,426624094162,-0.0721601378587987,,
2025-03-05,322063876846,-0.0159742240681952,,
2025-03-12,185523858624,-0.0500507947574723,,
2025-03-19,170037676127,-0.0016723956376846,,
2025-03-26,174229173132,0.0573198525463762,,
2025-04-02,319846823860,-0.0260647026193153,,
2025-04-02,319846823860,-0.0260647026193153,0.0019016391597688198,0.010411424562335014
2025-04-09,285774543033,-0.1045666019573483,-0.019377576187253,0.05228155851364136
2025-04-16,190841622390,0.0970315935157741,-0.011786408722400665,0.07260057330131531
2025-04-23,207990748877,0.1165597310336734,-0.0075577241368591785,0.08374762535095215
2025-04-30,173983873590,0.0091930322707316,0.008841834031045437,0.01644233427941799
2025-05-07,409499404031,0.0266605229342624,0.011425184085965157,0.021581459790468216
2025-05-14,326813299928,0.0761065903711939,0.016013676300644875,0.029162272810935974
2025-05-21,412614379939,0.0251900900429282,0.018601231276988983,0.10209500789642334
2025-05-28,331244532106,0.0206089739275374,0.023012181743979454,0.10587490350008011
2025-06-04,336475370547,-0.0326427543033122,0.025619789958000183,0.040050946176052094
2025-06-11,356319868182,0.0457861114575204,0.03139597177505493,0.04357876628637314
2025-06-18,353562056925,-0.05132989596493,0.030824851244688034,0.03881401568651199
2025-06-25,292617883181,0.0138174697038218,0.022438429296016693,0.10419279336929321
2025-07-02,306419301370,-0.0032467054091669,0.025924015790224075,0.1034325659275055
2025-07-09,615381117571,0.0307197407360844,0.03744005039334297,0.044717952609062195
2025-07-16,476589355511,0.081017823856712,0.035731442272663116,0.04236147180199623
2025-07-23,480571343230,0.0188513400568339,0.0259698498994112,0.035157810896635056
2025-07-30,431353717889,-0.017295810919933,0.02437402680516243,0.02906084433197975
2025-08-06,462236001641,-0.0320642320813912,0.019067613407969475,0.027904946357011795
2025-08-13,501960289695,0.0528124603654323,0.018035518005490303,0.02382845990359783
2025-08-20,492781596191,-0.0610885882113005,0.011702539399266243,0.0183500275015831
2025-08-27,439960420479,-0.0091494335232402,0.009964940138161182,0.016789916902780533
2025-09-03,313808444828,-0.0054117963911713,0.00940003339201212,0.0155568178743124
2025-09-10,322915360023,0.0030627984341933,0.007131861988455057,0.013686480931937695
