timestamp,returns,volume
1736294400.0,0.037453130277403934,355206513683
1736899200.0,-0.004024973455003855,526047818939
1737504000.0,0.09947097680400652,392990612048
1738108800.0,-0.045402521240176186,414333348359
1738713600.0,-0.03394788490977818,277917847502
1739318400.0,-0.021785409691672197,217432006523
1739923200.0,-0.002226356619002723,281806490213
1740528000.0,-0.07216013785879871,426624094162
1741132800.0,-0.015974224068195264,322063876846
1741737600.0,-0.05005079475747232,185523858624
1742342400.0,-0.0016723956376846205,170037676127
1742947200.0,0.05731985254637628,174229173132
1743552000.0,-0.026064702619315372,319846823860
1744156800.0,-0.10456660195734835,285774543033
1744761600.0,0.09703159351577417,190841622390
1745366400.0,0.11655973103367345,207990748877
1745971200.0,0.00919303227073165,173983873590
1746576000.0,0.026660522934262465,409499404031
1747180800.0,0.07610659037119394,326813299928
1747785600.0,0.02519009004292827,412614379939
1748390400.0,0.020608973927537466,331244532106
1748995200.0,-0.032642754303312205,336475370547
1749600000.0,0.04578611145752043,356319868182
1750204800.0,-0.051329895964930095,353562056925
1750809600.0,0.013817469703821805,292617883181
1751414400.0,-0.003246705409166939,306419301370
1752019200.0,0.03071974073608441,615381117571
1752624000.0,0.08101782385671208,476589355511
1753228800.0,0.018851340056833976,480571343230
1753833600.0,-0.01729581091993304,431353717889
1754438400.0,-0.0320642320813912,462236001641
1755043200.0,0.0528124603654323,501960289695
1755648000.0,-0.06108858821130059,492781596191
1756252800.0,-0.009149433523240269,439960420479
1756857600.0,-0.005411796391171397,313808444828
1757462400.0,0.0030627984341933256,322915360023
1758067200.0,0.04760332025777525,194174073806
